,S.No,Sub2Feedback
0,1.0,content of courses are average
1,2.0,Not good
2,3.0,All courses material provide very good knowledge in depth .
3,4.0,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning."
4,5.0,content of courses improves my knowledge
5,6.0,Yes
6,7.0,Good
7,8.0,This semester university has provide best teachers 
8,9.0,Needs some improvement
9,10.0,Needs some improvement
10,11.0,Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.
11,12.0,"Knowledge,depth of course is good but course material are not upto the mark"
12,13.0,course content is knowledgeable 
13,14.0,Content of the courses is good but some courses need improvement. Course material is not upto the mark. 
14,15.0,Good
15,16.0,Very good
16,17.0,Material of the course is not good enough 
17,18.0,sometimes proper course material is not required.
18,19.0,Easily available course material with sufficient knowledge gaining
19,20.0,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher."
20,21.0,The course notes are very knowledgeable and proper.
21,22.0,Good
22,23.0,Good
23,24.0,content of the courses are update and mostly based on current technology.
24,25.0,Needs some improvement
25,26.0,Good
26,27.0,Teachers are not giving depth of course . They trying to cover there work only .
27,28.0,Good
28,29.0,good
29,30.0,every thing is fine
30,31.0,It's appreciable
31,32.0,Satisfied
32,33.0,The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial
33,34.0,Awesome
34,35.0,It is proper
35,36.0,Courses are very good and useful 
36,37.0,Its good
37,38.0,Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand. 
38,39.0,Courses are very good and useful 
39,40.0,content is good enough
40,41.0,Good
41,42.0,Good
42,43.0,Accurate
43,44.0,Accurate
44,45.0,Perfect
45,46.0,the material provided is beneficial and provides much knowledge
46,47.0,fully knowledgeable
47,48.0,good
48,49.0,good
49,50.0,well planned
50,51.0,good
51,52.0,good
52,53.0,ok
53,54.0,good
54,55.0,average
55,56.0,content is very knowledgable and gives us huge knowledge of every subject
56,57.0,"content is enough, we donot need more."
57,58.0,good quallity content but some teachers donot upload ppts on time
58,59.0,course content is good
59,60.0,Very good
60,, 
